dur , netmobdur , cnetmobdr , grsmobdur , cgrsmobdr , xsmobdur  , cxsmobdur , 
  1 ,   0.01712 ,   0.01824 ,   0.33048 ,   0.25489 ,   0.31336 ,   0.23665 , 
  2 ,   0.01966 ,   0.02115 ,   0.34772 ,   0.27465 ,   0.32806 ,   0.25350 , 
  3 ,   0.02364 ,   0.02532 ,   0.35891 ,   0.28812 ,   0.33527 ,   0.26280 , 
  4 ,   0.02559 ,   0.02762 ,   0.36751 ,   0.29867 ,   0.34192 ,   0.27106 , 
  5 ,   0.02961 ,   0.03175 ,   0.37473 ,   0.30702 ,   0.34512 ,   0.27527 , 
  6 ,   0.03167 ,   0.03401 ,   0.38009 ,   0.31287 ,   0.34842 ,   0.27886 , 
  7 ,   0.03558 ,   0.03759 ,   0.38544 ,   0.31931 ,   0.34986 ,   0.28172 , 
  8 ,   0.03793 ,   0.04065 ,   0.39034 ,   0.32508 ,   0.35241 ,   0.28443 , 
  9 ,   0.04085 ,   0.04409 ,   0.39438 ,   0.33116 ,   0.35353 ,   0.28707 , 
 10 ,   0.04234 ,   0.04538 ,   0.39921 ,   0.33572 ,   0.35687 ,   0.29034 , 
 11 ,   0.04398 ,   0.04693 ,   0.40352 ,   0.34067 ,   0.35954 ,   0.29374 , 
 12 ,   0.04698 ,   0.04945 ,   0.40642 ,   0.34525 ,   0.35944 ,   0.29580 , 
 13 ,   0.04895 ,   0.05196 ,   0.40967 ,   0.34758 ,   0.36072 ,   0.29562 , 
 14 ,   0.04879 ,   0.05180 ,   0.41089 ,   0.35100 ,   0.36210 ,   0.29920 , 
 15 ,   0.05425 ,   0.05642 ,   0.41573 ,   0.35444 ,   0.36148 ,   0.29802 , 
 16 ,   0.05241 ,   0.05600 ,   0.41896 ,   0.36017 ,   0.36655 ,   0.30417 , 
 17 ,   0.05538 ,   0.05975 ,   0.42064 ,   0.36198 ,   0.36526 ,   0.30223 , 
 18 ,   0.05538 ,   0.05975 ,   0.42064 ,   0.36198 ,   0.36526 ,   0.30223 , 
