u_duration,occmob_mog_raw,occmob_mog_raw_lb,occmob_mog_raw_ub,occmob_mog_corr,occmob_mog_raw_yng,occmob_mog_raw_yng_lb,occmob_mog_raw_yng_ub,occmob_mog_corr_yng,occmob_mog_raw_prm,occmob_mog_raw_prm_lb,occmob_mog_raw_prm_ub,occmob_mog_corr_prm,lows_pdur_mm,lows_pdur_mm_corr,lows_pdur_mm_yng,lows_pdur_mm_yng_corr,lows_pdur_mm_prm,lows_pdur_mm_prm_corr,lpoly_pdur_mm,lpoly_pdur_mm_corr,lpoly_pdur_mm_yng,lpoly_pdur_mm_yng_corr,lpoly_pdur_mm_prm,lpoly_pdur_mm_prm_corr
1,.5316355305689913,.5215058646053952,.5417651965325874,.4446166778288571,.5957559243350394,.578873966874091,.6126378817959879,.5256229050711922,.4941104943441182,.4793450998042704,.5088758888839661,.3972040933018708,.5312456788045805,.4437165134435606,.5948475143898418,.5238495355442615,.4950738278864827,.3979876293732335,.5319966996822663,.4450578877326721,.5972143146678277,.5274450531086581,.4940301213238512,.3970538005032975
2,.5455672608814081,.5338953758802426,.5572391458825735,.4608482185396182,.6078545246905678,.5881344731022644,.6275745762788711,.5394623140975912,.5127744104523039,.4959385554988569,.5296102654057508,.4191289002661074,.5450396147850453,.4604436529969859,.6019219183607248,.5323974903745359,.5136333879445203,.4205905967101747,.5443607473746614,.4594254106510281,.6005474457996891,.5303920388726301,.5137433420284027,.4205880383423674
3,.5541956707414559,.5405964264819583,.5677949150009536,.4710871818005039,.6007275526075809,.5772805992590112,.6241745059561506,.5299598194003978,.5298096094168528,.5103218015166791,.5492974173170266,.4401499381347435,.5575663566327821,.4757443753564356,.6110868862661366,.5437679783248394,.529086075171728,.439483914649826,.5581385850026713,.4760443736936463,.6066559348201976,.5375882667686901,.5329524410486697,.4439249536706716
4,.5755970363516854,.5598261672641437,.591367905439227,.4975293769027823,.6132395811462444,.5853469371489058,.641132225143583,.5460746178615359,.5557900688588286,.5333425808695728,.5782375568480845,.4720373945463701,.5686717102574825,.4893385045296232,.6209277198714764,.5560805731595478,.5415471796744759,.4547328571888741,.5709838988114003,.4917819833009703,.6155597036262779,.5486880095309097,.5489589312884861,.463552629979062
5,.5860524683060327,.5680099043373876,.6040950322746779,.5109320587950249,.6351276907795668,.602445100403978,.6678102811551555,.5740191062876753,.5624573051938294,.5365685885678173,.5883460218198415,.4804058744133807,.5789666046997566,.5019631419329929,.6308965235931153,.5686555712365381,.5518260768915839,.4672838822308601,.5823722412175949,.505892886795144,.6264492126799248,.5625521286943838,.5611211676138068,.4785958062074757
6,.5915065560322005,.5708786856393833,.6121344264250177,.5175524462838683,.6448287295523765,.6071119124000196,.6825455467047333,.5863856248744287,.5664993252434838,.5369621297725901,.5960365207143775,.4854963714405579,.5887152156538902,.5139722951188468,.6405530844747832,.58093647323494,.560425507928333,.4777828579331801,.5927284837987289,.5188997095111998,.6398995412169197,.5799289430629756,.5697039426056137,.4893275614911539
7,.5959663283208204,.5721515792588464,.6197810773827944,.5226898989783423,.6485323966086631,.6038254115957465,.6932393816215797,.590466639436362,.5724063022143254,.5383633715597546,.6064492328688963,.4927461336670956,.5976656067528673,.5250557436713623,.6498251026086761,.5928162349688166,.5668543156856264,.4856137256752595,.600454610624817,.5285196773730707,.6545562652545842,.5986696218447364,.5729929436474587,.4933241895394603
8,.6051162271423711,.5777347232662092,.632497731018533,.5343129643656095,.6687420343788683,.6136625964522827,.7238214723054538,.6168569681900944,.568044783413956,.5298434995242637,.6062460673036484,.4871061131357879,.6055212648461684,.5347619871408587,.6594016894192132,.6051938601656065,.5704307915738229,.4897792165316331,.6054023015535256,.534601245515019,.6628541437686603,.6092779533593191,.5733823351103311,.4937057218223098
9,.6153219722896984,.5842590608485583,.6463848837308386,.546487857764191,.6690313520334618,.605780976483188,.7322817275837356,.6176761250002337,.578624496244137,.5347083133259122,.6225406791623619,.4992533183644463,.6114960055814227,.5420520289399482,.6679370298334049,.61643663808287,.5710676663249022,.4900625507468511,.6128032993297681,.5437442604449335,.6688432927235159,.6170680353716833,.5755758997106415,.4962202080555441
10,.6223314690537188,.5870684988439742,.6575944392634635,.5560926671474242,.6790061713311374,.6040301084194644,.7539822342428104,.630831917984422,.5772840982154566,.5248442275771785,.6297239688537346,.4986104564465776,.6147097939988203,.545792234911102,.6731818625265872,.6235767160778878,.5689501672989216,.4867113401834086,.621087432521492,.5540807635879258,.6768258284096322,.6276934977985095,.5765612575187091,.4970196299411619
11,.6241118964231452,.5842705257202997,.6639532671259908,.5582699733087443,.6589128800118916,.5688050403601012,.7490207196636821,.6046214344371377,.5799464721673109,.5218813680001165,.6380115763345052,.5017795846575993,.6139690938682204,.5444184958631564,.671752042433639,.6221043521848733,.5635297947124606,.479016918548052,.6268582787436536,.5611984331133145,.6839057171922129,.6374591314548269,.5748936560121283,.4942340550017932
12,.639390847928666,.5932531444128515,.6855285514444804,.5758106267439209,.7244780081318005,.6134756663055098,.8354803499580913,.6890730172936947,.5650368288041017,.4956889076794783,.6343847499287251,.4797571502313435,.6095338691201388,.5383545086633139,.6611666975020322,.6086333554721979,.5548325842101944,.4671280792167886,.6261429524045169,.5598483521186596,.6871609403696987,.6423773365720217,.5687940132854816,.4854852685394905
13,.6151649699131385,.5597282103182964,.6706017295079806,.5449531936364767,.6831715668035472,.4980186141595761,.8683245194475182,.6415774670151551,.5536059255563622,.4768300941551529,.6303817569575716,.4627527482515614,.6029885603851474,.5297276109781556,.6407384279104341,.5821835869023976,.5454400899759753,.4544305289105032,.6167663411502702,.5471692460080508,.6830949205454161,.6379203288367076,.5528734985396877,.4636321443278381
14,.6029965080064029,.5371169078150441,.6688761081977618,.5303562951939489,.6733294443459813,.3953972909785202,.9512615977134424,.6251101330854782,.5377287699785827,.4480509038942724,.6274066360628929,.4451281533631021,.5951656854237602,.5195634110463453,.6114800609942074,.5442917993456393,.5363867754058727,.4420583977797397,.5993951648698506,.5242704976747559,.6591827700241233,.6075866813676061,.5334812755354217,.4374935224735462
15,.5559465599190889,.4753637473828345,.6365293724553434,.4660467087684083,.579717957347946,.1859862428872778,.9734496718086141,.5038301882872662,.512500836599186,.4071134913981659,.6178881818002061,.4083145167295077,.5857902574289072,.5074850004719627,.5734362158884865,.4950085777333595,.527553134214947,.4298793462328384,.5799811433216238,.499306975735117,.6119597555071898,.5467646047537079,.5180342306072848,.4173432905275558
16,.5569593611300894,.4516547799718374,.6622639422883414,.4703094702918863,.5258128474717334,-.0250862323803798,1.076711927323847,.4328953189162688,.4653510001927718,.3373967740668289,.5933052263187146,.3494487996183642,.57553816518763,.494414988026423,.5242456320104232,.431131968008507,.5198662269078066,.4191897608768435,.5632537575589066,.4781853200660156,.5377399745306193,.4499816459369035,.5086089613251561,.4054817734121848
17,.57657346049734,.4586707082912362,.6944762127034438,.4982643380496092,.4636367005660358,,,.3469522988072611,.5435766402456123,.4193637025808151,.6677895779104095,.4546807734694722,.5677889632664052,.4847590535984773,.4651420142610026,.3542227689948633,.515863262068314,.4132145237121101,.5625174257973938,.4777050233210673,.468375222530781,.3595981072451045,.5135723934885594,.4110338141792599
18,.5721506273826527,.3385230445953271,.8057782101699782,.4898516869165105,.4035916117283034,,,.2783979452447478,.5244318592614348,-1.738887965222532,2.787751683745401,.4190689470754042,.5674702452648499,.4849427490310543,.4019332874767256,.2723575040276718,.5209312067685111,.4185775600713665,.5778124928259469,.4980389575433817,.4044076280789719,.2792187360402572,.5377893874362716,.438530923016597
