n_duration,occmob_mog_raw,occmob_mog_raw_lb,occmob_mog_raw_ub,occmob_mog_corr,occmob_mog_raw_yng,occmob_mog_raw_yng_lb,occmob_mog_raw_yng_ub,occmob_mog_corr_yng,occmob_mog_raw_prm,occmob_mog_raw_prm_lb,occmob_mog_raw_prm_ub,occmob_mog_corr_prm,lows_pdur_mm_nunmale,lows_pdur_mm_nunmale_corr,lows_pdur_mm_nunmyng,lows_pdur_mm_nunmyng_corr,lows_pdur_mm_nunmprm,lows_pdur_mm_nunmprm_corr,lpoly_pdur_mm_nunmale,lpoly_pdur_mm_nunmale_corr,lpoly_pdur_mm_nunmyng,lpoly_pdur_mm_nunmyng_corr,lpoly_pdur_mm_nunmprm,lpoly_pdur_mm_nunmprm_corr
1,.537395946536509,.5252718144270151,.5495200786460029,.4460514814832376,.5890505801946891,.5694511019799566,.6086500584094217,.5133085707855853,.4999417287766261,.4817533730360334,.5181300845172189,.3973990639950049,.5357826266664683,.4438206243501321,.5839468625006671,.5064413517908046,.5006460370437058,.39839862999232,.5372443739955259,.4458394749247045,.5894544006754101,.5137677834211711,.4996421362526244,.3970599239621126
2,.5505246926619636,.5371867042857487,.5638626810381785,.4620425347707021,.5928833277762053,.5710358623876655,.6147307931647452,.5175668340703715,.5201485071140457,.5002824825722831,.5400145316558083,.4229130384017978,.5526100404220388,.4648636495682908,.5945927074999631,.5201861064798839,.5216228411732615,.4246015938814208,.551743221735597,.4636989025132652,.5919820895800009,.5167381445724528,.5216956610608507,.424711115661229
3,.5655637921615364,.5507485781972108,.580379006125862,.4808997723965899,.5980848885893174,.5735215588238416,.6226482183547932,.5244964986179617,.5398618038087625,.5178779804599598,.5618456271575651,.4472502326382995,.5678152831805497,.4838781025848686,.6064652487151937,.5354408719084559,.5391145421542434,.4463682165898709,.5688577307672181,.4850866708936044,.6018083822871325,.5294230593650213,.5436755358067143,.4521951131779338
4,.5902775747266681,.5738710702657206,.6066840791876156,.5120382386100124,.6152666108256422,.5878735265350248,.6426596951162595,.5472808611541292,.5697128459792623,.5453202423954204,.5941054495631042,.4847877647833714,.5811606244738093,.5005452032815622,.6179157055953582,.5500860296170098,.5532936547221979,.4639471913190583,.58469971878931,.5049312023739858,.6145507115915718,.5458509147961137,.5618115441123988,.4747507287729487
5,.6013212040590598,.5832955762776998,.6193468318404197,.5260023049781912,.6385353022884471,.6088387514006579,.6682318531762363,.5767591716242388,.5756240567978032,.5484428000275741,.6028053135680322,.491846810167572,.5935057567499545,.5159783260158485,.6287775648572952,.563966744712703,.5654064126282535,.47894554706064,.5984496009892245,.5221603083713977,.62842126728154,.5636727718929669,.5754237424023484,.4915652731602474
6,.6100306795293813,.5901612915914314,.6299000674673312,.5366686721961011,.6441263815499881,.6117454181837196,.6765073449162566,.5836747744352329,.5849339706126541,.5549694152799844,.6148985259453237,.5031907425024462,.6053946969426868,.5308918090625424,.6392637034321061,.577396145593206,.576449579922076,.4926607032668648,.610278568714049,.5369948175543366,.6435236296834526,.5830331013866783,.5847089532441553,.5029067822833648
7,.6135410646198953,.5914652409981691,.6356168882416215,.5407596268372101,.6521212310510091,.6157434242349018,.6884990378671163,.5935098847734113,.5826197307137095,.5493077516451821,.615931709782237,.4996813388081963,.6166034442304015,.5450060732342403,.6494518691583947,.5904883737825084,.5861785314199242,.5047850192342865,.618534612640616,.547256912991573,.6547103311878049,.5970999407699377,.5890498815886843,.508093879031312
8,.622670001332132,.5980100881289686,.6473299145352954,.5522758972880697,.6583587689548491,.6163650238584724,.7003525140512259,.601379581430818,.589668304086541,.5525120872174033,.6268245209556788,.5089504908392541,.6270858464758468,.558181647842194,.6598845287891902,.6038748711482528,.5940031537903651,.5144717841125425,.6250565424989823,.5554219617065765,.6608399810108566,.6047549361894131,.5919408457829125,.5115919855544118
9,.6371253359254032,.61031848345885,.6639321883919564,.570843650410205,.6677776039504039,.6205158819312002,.7150393259696075,.6140092832959099,.5976923523147046,.5558449836718532,.6395397209575561,.5185481866930012,.6368427290867152,.5703337935307532,.6706749152364208,.6176298643162678,.5999249242548671,.5216127295197147,.6346363030119465,.5676606461440227,.6660668789483898,.6116259262908663,.5993105879025812,.5210482946068357
10,.6500788238495562,.6210305952372362,.6791270524618761,.587281828520798,.6780225533623281,.6266015871187479,.7294435196059083,.6268505207909287,.6130595905588259,.5675071767167078,.6586120044009439,.5388491157031607,.6460124398488832,.5815553478676969,.6818264693402499,.6316059492587491,.6046418624309262,.5270413557671633,.6463584347110968,.5827031056612095,.6752572852264819,.623815720424128,.6079805574488166,.5321215142782078
11,.6520000083649437,.6197093884838375,.6842906282460498,.5906787410343878,.6720564083834385,.6158592571806897,.7282535595861873,.6209543772542657,.6209308747166191,.5698555931728433,.6720061562603949,.5495394122653083,.6540757666142121,.5911086413164094,.6931461838159433,.6454342153899616,.6079153821492372,.5303537320245278,.6579272005397044,.5972496823755417,.6872442426472017,.6393311363696703,.6160289996689839,.542055997386277
12,.676614232287942,.6395794835537637,.7136489810221204,.6197748142675599,.7189898479777335,.6510566619303706,.7869230340250963,.6792290176058828,.6193638092285215,.5599486059291799,.6787790125278631,.5447403920314624,.6604352581494484,.5982984988108943,.7035017477931793,.6577077671963659,.6093054312912186,.5309728740804714,.6673066264573834,.6083888132666482,.7026213746175201,.6584793729467071,.6196173265562251,.5456786190441619
13,.6713222851557324,.6294454367469301,.7131991335645348,.6117682080739236,.726640766221978,.6429784117936467,.8103031206503094,.6889779187259795,.606785375151678,.5387038723271508,.6748668779762051,.5262897647907672,.6652359223871525,.6033930246942143,.7102951504821727,.6652394617614625,.6099963673924941,.5304735130267666,.6728273437355218,.6138130786280415,.7190063328725042,.6779275163121098,.6164495799085069,.5397184328212142
14,.6779875480360609,.6312830583300439,.7246920377420778,.61882776417881,.7293159786799248,.6340332894130043,.8245986679468453,.6876684940125346,.6193081262909289,.5454506012098728,.693165651371985,.5423186546034486,.6682653405892093,.6061365930776342,.7094441553425374,.6630448656174787,.6113102216711851,.5304692014480058,.6749628978872394,.6144529355880953,.7347386867702519,.6954995894039837,.6071179813579333,.5253148393443342
15,.670743532635927,.6108563308760396,.7306307343958144,.6050729536795825,.7455239560146733,.6222167607098333,.8688311513195132,.7041989099483175,.6025772588421752,.5151767739045682,.6899777437797822,.5162153974996515,.6695490493606381,.6065588303884459,.7012203842176847,.6514206611335117,.6132759312044307,.5310239633564423,.6734592550901293,.6107572991413953,.7336105498061155,.6916368380862982,.6025991478414512,.5173005323251387
16,.6562776456769334,.5784432435489433,.7341120478049235,.5882695860577244,.720496648427097,.548898521821918,.8920947750322761,.6736969665711211,.5778816354765787,.4631084163861142,.6926548545670431,.4822481807308842,.6688705507925561,.6044946724562342,.6832352013271507,.6274455316657302,.6168679518442465,.5334785490807323,.6682935568421106,.6030031105828967,.7090175822295512,.6587865146627463,.6040838268063128,.5171477661476576
17,.6846643018737955,.5874251898334188,.7819034139141721,.6245274669906364,.728129488093031,.4811230838010904,.9751358923849717,.6802068091752064,.6195131706404056,.4739500462820021,.765076294998809,.5389040603710905,.6667716672358236,.6008650386553334,.6517225828504001,.5867817894621695,.6239367184711979,.5402859143205967,.6654237739570905,.5988250983010659,.6578410989096513,.59416483654423,.6178419450929872,.5323359688338645
18,.6570809969834257,.4801062612572069,.8340557327096445,.5878370006159761,.5271828699701577,-.1053924486707319,1.159758188611047,.4325491504716366,.65820171793482,.3304694961993913,.9859339396702487,.5794749707253177,.6646979073703421,.5977279566419609,.6001365561575757,.5218086099150869,.6385546078724698,.556676617140904,.6632223036638969,.5961869360174026,.5422756810701825,.4510675871155891,.6597229694709728,.5828013568749237
